"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSMUSG00000103922",107.973221705679,-0.303383161811089,0.503566398256123,0.0180116413136319,0.171160439251763
"ENSMUSG00000033845",1165.24144775212,0.162977848898868,0.13494055406066,0.0836384356964892,0.39805245769113
"ENSMUSG00000025903",3990.29980225411,0.0847962588579346,0.114278824843027,0.33226756300683,0.730702612018464
"ENSMUSG00000033813",1292.65476619039,-0.240834759457358,0.132012344619515,0.0157634101075429,0.159170981639274
"ENSMUSG00000033793",1679.48913721869,-0.0418920153185235,0.110694724655959,0.603832243094365,0.884878096297371
"ENSMUSG00000025907",3018.13490828582,-0.141935335294429,0.121923432799618,0.111704976946855,0.461016124566881
"ENSMUSG00000090031",136.250543555548,0.0373971047381776,0.137507471708052,0.619681423587833,0.890002859461887
"ENSMUSG00000033740",50.094994899565,-0.022664024207973,0.147523719261033,0.718675586322046,0.928354912113967
"ENSMUSG00000051285",1498.0285761193,-0.182134684682721,0.164844163877332,0.0726275378163239,0.372943014957659
"ENSMUSG00000103509",54.5121556133105,-0.00033378432529647,0.152347912876335,0.991940344492799,0.998010504880639
"ENSMUSG00000061024",353.403716361911,0.0212183075444835,0.126736647059609,0.787807964983594,0.947983393264591
"ENSMUSG00000025911",52.3289549895235,0.0242199535537214,0.147329845415858,0.696993957275016,0.920340671309901
"ENSMUSG00000025912",119.997120132772,0.0855499471912618,0.166974088940901,0.237459924647167,0.643804791869322
"ENSMUSG00000045210",1800.37071412422,0.0151410967784549,0.111150976768923,0.851381487287146,0.967432429701432
"ENSMUSG00000025915",231.548701648239,0.593364246932178,0.198088138672527,0.000178257004636571,0.0074653643908999
"ENSMUSG00000098234",162.245238812089,-0.054810199175849,0.135794316983037,0.489704421945089,0.829963443119674
"ENSMUSG00000099032",55.5508495125337,2.32980264176356,0.457419255719444,1.68863552951033e-08,3.59491741615754e-06
"ENSMUSG00000025917",1805.19001274581,0.0118080055880505,0.101960630135699,0.881028547537324,0.973922225346322
"ENSMUSG00000056763",598.610717670095,0.0472737783578652,0.129292737007327,0.558191787967198,0.86765680214595
"ENSMUSG00000067851",7097.55327095884,0.061042855414312,0.107816209942509,0.45284206709901,0.807115573634408
"ENSMUSG00000016918",53.20929887703,0.120711473814205,0.200131926394019,0.102504131044295,0.442580383170661
"ENSMUSG00000005886",1854.35621210158,0.0155528316393707,0.105388820105346,0.847247007206815,0.965771040527443
"ENSMUSG00000025935",3097.93209328375,-0.0307586459509493,0.106095020378564,0.699904515924677,0.921550865150666
"ENSMUSG00000025937",1283.55903361932,-0.0478256420956362,0.115012888569506,0.590472077093426,0.880967573037443
"ENSMUSG00000067813",341.092390712682,-0.203360161591417,0.186813376889846,0.0567713300049375,0.330965174478137
"ENSMUSG00000025925",352.083904386996,0.0338568341190281,0.117904383211205,0.676797830774538,0.911675643739531
"ENSMUSG00000043716",17321.8791399843,-0.444803721755135,0.157979991084006,0.000442563303950566,0.0144860175159813
"ENSMUSG00000025921",840.819913138976,0.0677110764716347,0.109074005023407,0.413626583591335,0.784004605964813
"ENSMUSG00000025920",489.827874412727,-0.0769218780414556,0.115982318749752,0.358253835702579,0.751018845153274
"ENSMUSG00000025939",785.183726236997,-0.170446979289607,0.149375734641326,0.0818710702799324,0.394043336585998
"ENSMUSG00000079658",1442.75280740998,-0.00557755018883216,0.106952031459437,0.949609674953519,0.988574552281522
"ENSMUSG00000025940",936.054633967871,-0.152107019625233,0.135486466253183,0.103366738999242,0.444040263885995
"ENSMUSG00000025779",158.826350072142,-0.107600649786277,0.163212246043704,0.202528169786281,0.600803519737589
"ENSMUSG00000043760",158.495701018891,0.0340960854651889,0.144646128942279,0.618802858808381,0.889887471628768
"ENSMUSG00000041859",602.525606476088,0.0854857629226827,0.156434539924388,0.276802176738014,0.683256189712968
"ENSMUSG00000025931",1085.43010260687,0.700495901106153,0.225974851419071,0.000108032815493663,0.00501796059359657
"ENSMUSG00000041779",147.611312380474,0.510052490605814,0.291609971282635,0.00422157531619191,0.0678284134660268
"ENSMUSG00000025933",61.2106361928747,-0.00321432625631789,0.142219496840512,0.959377225576703,0.992357934153022
"ENSMUSG00000025934",346.82583823002,0.0484242602654788,0.13934960319253,0.529096801484412,0.853193781855376
"ENSMUSG00000025936",38.6965118527875,-0.862643535599643,0.6950880921056,0.00440011813789789,0.0700363559893031
"ENSMUSG00000082935",69.6663040465855,-0.074513576153054,0.161128688744638,0.289471387770041,0.692679005917875
"ENSMUSG00000026158",146.000686234557,-0.0998320102400668,0.157265030847079,0.233540209234686,0.641856593643634
"ENSMUSG00000026155",745.71760685865,0.117190196791224,0.124377095399781,0.184533525653278,0.58212181132197
"ENSMUSG00000026154",262.59364095807,0.0716041096537483,0.150382745966983,0.351913807711519,0.746732774140452
"ENSMUSG00000026153",3006.51194855199,0.0717944997159347,0.127724757710377,0.393149469884748,0.771797524896699
"ENSMUSG00000073725",3459.83132595633,0.0264933338371535,0.106942956278757,0.74051579268196,0.933778272380641
"ENSMUSG00000048874",2013.11013035111,-0.174663578426478,0.139544945077628,0.0700104505964084,0.366127665213834
"ENSMUSG00000026064",55.3740765624937,0.00497930769637124,0.146777930972204,0.934564865964253,0.985601209870698
"ENSMUSG00000026134",173.243316223305,0.0570387785495243,0.146841704567311,0.441171682793985,0.80106845268059
"ENSMUSG00000004768",190.457004702127,-0.091238894233346,0.144649843675456,0.282547407807734,0.686727404855792
"ENSMUSG00000042197",437.481843045061,-0.147916402321457,0.18298158665553,0.115157979315061,0.467772612548511
"ENSMUSG00000026131",5867.29212405033,0.020359376837352,0.123002662218803,0.799744868051079,0.952855758840804
"ENSMUSG00000102336",92.6445645110842,-0.0900589769901824,0.183818241909533,0.12369348882357,0.4844082260316
